,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel21,3,12,11,12,7,5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(7, 5), [6, 5], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [4, 10], [4, 11], [3, 11], [4, 11], [3, 11], [3, 12]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (1, 0), (-1, 0), (0, 1)]","[1, 11]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",2,8,7,180
1,maxModel21,4,11,10,11,7,4,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(7, 4), [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,6,7,180
2,maxModel21,4,7,10,7,7,1,"[1, 1, 1, 1, 1, 1, 1, 2, 2]","[(7, 1), [6, 1], [5, 1], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[3],"[1, 1, 0, 0, 0, 0, 0, 0, 0]",1,6,6,180
3,maxModel21,5,5,5,9,11,7,"[1, 1, 1, 1, 1, 1, 1, 2]","[(11, 7), [10, 7], [10, 6], [9, 6], [8, 6], [8, 5], [7, 5], [6, 5], [5, 5]]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 1, 0, 0, 1, 0, 0, 0]",0,4,6,270
4,maxModel21,4,1,10,1,7,9,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[(7, 9), [8, 9], [9, 9], [9, 8], [10, 8], [10, 7], [10, 6], [10, 5], [9, 5], [10, 5], [10, 4], [10, 5], [10, 4], [10, 3], [10, 2], [10, 1]]","[(1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (1, 0), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1)]","[8, 11]","[2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",2,6,8,0
5,maxModel21,5,6,9,6,7,13,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(7, 13), [7, 12], [6, 12], [5, 12], [5, 11], [5, 10], [5, 9], [5, 8], [4, 8], [4, 7], [5, 7], [5, 6]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (1, 0), (0, -1)]",[8],"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,7,0
6,maxModel21,3,13,11,13,7,5,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(7, 5), [7, 6], [6, 6], [6, 7], [5, 7], [5, 8], [4, 8], [4, 9], [3, 9], [3, 10], [3, 11], [3, 12], [3, 13]]","[(0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,8,8,180
7,maxModel21,3,7,11,7,7,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(7, 1), [6, 1], [5, 1], [4, 1], [4, 2], [4, 3], [4, 2], [4, 3], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, -1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[6],"[1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,8,6,180
8,maxModel21,3,5,3,9,11,7,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[(11, 7), [10, 7], [10, 6], [10, 5], [9, 5], [8, 5], [7, 5], [7, 4], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5]]","[(-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[7, 1]","[2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,270
9,maxModel21,10,4,10,10,2,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(2, 7), [2, 6], [3, 6], [3, 5], [4, 5], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4]]","[(0, 1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",special,6,8,90
