,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel26,3,2,11,2,7,9,"[0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[(7, 9), [7, 8], [7, 9], [8, 9], [8, 8], [9, 8], [10, 8], [11, 8], [11, 7], [11, 6], [11, 5], [11, 4], [11, 3], [11, 2]]","[(0, -1), (0, 1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[6, 2]","[0, 1, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]",2,8,7,0
1,maxModel26,4,9,10,9,7,2,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(7, 2), [7, 3], [8, 3], [8, 4], [9, 4], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9]]","[(0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 2, 0, 2, 2, 0, 0, 0, 0, 0]",0,6,7,180
2,maxModel26,2,4,2,10,8,7,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(8, 7), [8, 6], [7, 6], [6, 6], [5, 6], [5, 5], [5, 4], [5, 3], [4, 3], [4, 4], [3, 4], [2, 4]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, 1), (-1, 0), (-1, 0)]",[7],"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1,6,6,270
3,maxModel26,5,10,9,10,7,4,"[0, 0, 1, 1, 1, 1, 1, 1]","[(7, 4), [8, 4], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 2, 0, 0, 0, 0, 0, 0]",0,4,6,180
4,maxModel26,5,4,5,10,13,7,"[0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[(13, 7), [13, 8], [12, 8], [11, 8], [10, 8], [10, 9], [10, 10], [10, 9], [10, 8], [10, 9], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, -1), (0, -1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[7, 8]","[2, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0]",2,6,8,270
5,maxModel26,5,12,9,12,7,5,"[0, 1, 1, 1, 1, 1, 1, 1, 2]","[(7, 5), [6, 5], [6, 6], [6, 7], [6, 8], [5, 8], [5, 9], [5, 10], [5, 11], [5, 12]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[5],"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,7,180
6,maxModel26,3,9,11,9,7,1,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(7, 1), [6, 1], [5, 1], [5, 2], [5, 3], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8], [3, 8], [3, 9]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[],"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",0,8,8,180
7,maxModel26,3,11,11,11,7,5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2]","[(7, 5), [6, 5], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[6],"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,8,6,180
8,maxModel26,8,5,8,9,0,7,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[(0, 7), [0, 6], [0, 5], [1, 5], [2, 5], [3, 5], [2, 5], [2, 6], [3, 6], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[6, 7]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2,4,8,90
9,maxModel26,4,4,10,4,7,12,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(7, 12), [6, 12], [5, 12], [4, 12], [4, 11], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6], [4, 5], [4, 4]]","[(1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[1],"[2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",special,6,8,0
