,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel48,3,5,11,5,7,12,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[(7, 12), [8, 12], [8, 11], [8, 10], [8, 9], [9, 9], [9, 8], [9, 7], [8, 7], [8, 6], [8, 5], [9, 5], [10, 5], [11, 5]]","[(1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]","[8, 10]","[2, 0, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 2]",2,8,7,0
1,maxModel48,4,12,10,12,7,5,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[(7, 5), [8, 5], [9, 5], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",0,6,7,180
2,maxModel48,4,0,10,0,7,6,"[0, 0, 0, 0, 0, 1, 1, 1, 1]","[(7, 6), [8, 6], [8, 5], [8, 4], [8, 3], [9, 3], [9, 2], [9, 1], [10, 1], [10, 0]]","[(1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1)]",[4],"[2, 0, 0, 2, 2, 0, 0, 2, 0]",1,6,6,0
3,maxModel48,4,5,4,9,10,7,"[0, 0, 0, 0, 0, 1, 1, 1]","[(10, 7), [10, 8], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 0, 0, 0, 0, 0, 0]",0,4,6,270
4,maxModel48,5,4,5,10,13,7,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [9, 8], [8, 8], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0)]","[6, 4]","[0, 0, 0, 1, 2, 2, 0, 2, 2, 0, 0]",2,6,8,270
5,maxModel48,5,1,9,1,7,8,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(7, 8), [8, 8], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [8, 2], [9, 2], [9, 1]]","[(1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (1, 0), (0, -1)]",[9],"[2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]",1,4,7,0
6,maxModel48,3,13,11,13,7,5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(7, 5), [6, 5], [5, 5], [4, 5], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [3, 12], [3, 13]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,8,8,180
7,maxModel48,3,3,3,11,9,7,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(9, 7), [9, 6], [9, 5], [9, 4], [9, 3], [8, 3], [7, 3], [6, 3], [5, 3], [6, 3], [5, 3], [4, 3], [3, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0)]",[9],"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,8,6,270
8,maxModel48,5,12,9,12,7,4,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(7, 4), [7, 5], [7, 6], [6, 6], [6, 7], [5, 7], [5, 8], [6, 8], [6, 9], [7, 9], [8, 9], [9, 9], [9, 10], [9, 11], [9, 12]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]","[9, 7]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 2, 0, 0, 0]",2,4,8,180
9,maxModel48,4,12,10,12,7,4,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(7, 4), [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [5, 12], [4, 12]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[1],"[2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",special,6,8,180
0,maxModel48,13,3,13,11,5,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(5, 7), [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 8], [11, 9], [12, 9], [12, 10], [13, 10], [14, 10], [14, 11], [13, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (-1, 0)]","[7, 12]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 0]",2,8,8,90
1,maxModel48,3,10,11,10,7,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [5, 9], [4, 9], [3, 9], [3, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1)]",[10],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",1,8,7,180
2,maxModel48,4,6,10,6,7,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 14), [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [8, 7], [9, 7], [9, 6], [10, 6]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,8,0
3,maxModel48,7,3,7,11,1,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 7), [2, 7], [3, 7], [4, 7], [4, 6], [5, 6], [5, 5], [6, 5], [6, 4], [6, 3], [7, 3]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0)]",[4],"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",1,8,6,90
4,maxModel48,5,8,9,8,7,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 14), [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 9], [6, 9], [6, 8], [5, 8]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (-1, 0), (0, -1), (-1, 0)]","[8, 7]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",2,4,6,0
5,maxModel48,12,4,12,10,6,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 8], [11, 9], [12, 9], [12, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,6,90
6,maxModel48,12,5,12,9,4,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(4, 7), [4, 8], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [10, 8], [11, 8], [12, 8], [12, 9]]","[(0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (0, 1)]","[9, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,4,8,90
7,maxModel48,5,11,9,11,7,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 4), [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [8, 11], [9, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,180
8,maxModel48,4,7,10,7,7,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 0), [7, 1], [7, 0], [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [8, 6], [9, 6], [9, 7], [10, 7]]","[(0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",1,6,7,180
9,maxModel48,4,10,10,10,7,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [5, 10], [4, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (-1, 0), (0, 1), (-1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1]",special,6,8,180
