,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel30,3,10,11,10,7,3,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(7, 3), [6, 3], [6, 4], [6, 5], [5, 5], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [3, 10]]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]","[3, 6]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",2,8,7,180
1,maxModel30,4,10,10,10,7,3,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(7, 3), [8, 3], [8, 4], [9, 4], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10]]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 0, 2, 2, 0, 0, 0, 0, 0, 0]",0,6,7,180
2,maxModel30,4,8,10,8,7,2,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(7, 2), [8, 2], [9, 2], [10, 2], [10, 3], [10, 4], [11, 4], [11, 5], [11, 6], [10, 6], [10, 7], [10, 8]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]",[6],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",1,6,6,180
3,maxModel30,5,8,9,8,7,14,"[0, 0, 1, 1, 1, 1, 1, 1]","[(7, 14), [6, 14], [5, 14], [5, 13], [5, 12], [5, 11], [5, 10], [5, 9], [5, 8]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[1, 1, 0, 0, 0, 0, 0, 0]",0,4,6,0
4,maxModel30,3,4,3,10,11,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(11, 7), [11, 8], [10, 8], [10, 9], [10, 8], [9, 8], [9, 9], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10], [3, 10]]","[(0, 1), (-1, 0), (0, 1), (0, -1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[1, 4]","[1, 0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0]",2,6,8,270
5,maxModel30,5,8,9,8,7,1,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[(7, 1), [7, 0], [7, 1], [8, 1], [9, 1], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8]]","[(0, -1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[1],"[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",1,4,7,180
6,maxModel30,3,3,3,11,11,7,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(11, 7), [11, 8], [11, 9], [11, 10], [11, 11], [10, 11], [9, 11], [8, 11], [7, 11], [6, 11], [5, 11], [4, 11], [3, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,8,8,270
7,maxModel30,8,3,8,11,2,7,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(2, 7), [2, 6], [3, 6], [4, 6], [4, 5], [4, 4], [4, 3], [5, 3], [6, 3], [7, 3], [7, 2], [8, 2], [8, 3]]","[(0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, 1)]",[10],"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1,8,6,90
8,maxModel30,11,5,11,9,3,7,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(3, 7), [4, 7], [4, 8], [4, 9], [5, 9], [5, 10], [6, 10], [6, 9], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9]]","[(1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 5]","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,90
9,maxModel30,8,4,8,10,0,7,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(0, 7), [0, 8], [0, 9], [1, 9], [1, 10], [2, 10], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10]]","[(0, -1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]",special,6,8,90
