,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel41,3,4,11,4,7,11,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[(7, 11), [6, 11], [5, 11], [5, 10], [5, 9], [5, 8], [5, 9], [4, 9], [3, 9], [3, 10], [3, 9], [3, 8], [3, 7], [3, 6], [3, 5], [3, 4]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[6, 9]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",2,8,7,0
1,maxModel41,8,4,8,10,1,7,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[(1, 7), [2, 7], [3, 7], [4, 7], [4, 8], [5, 8], [5, 9], [5, 10], [6, 10], [7, 10], [8, 10]]","[(1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 2, 0, 2, 2, 0, 0, 0]",0,6,7,90
2,maxModel41,4,12,10,12,7,6,"[0, 0, 0, 0, 1, 1, 1, 1, 1]","[(7, 6), [7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11], [4, 12]]","[(0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[3],"[0, 1, 0, 0, 0, 0, 0, 1, 0]",1,6,6,180
3,maxModel41,5,5,5,9,11,7,"[0, 0, 0, 0, 1, 1, 1, 1]","[(11, 7), [11, 6], [10, 6], [10, 5], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 0, 1, 0, 0, 0, 0, 0]",0,4,6,270
4,maxModel41,4,5,10,5,7,13,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(7, 13), [8, 13], [8, 12], [9, 12], [9, 11], [9, 12], [9, 11], [10, 11], [10, 10], [10, 9], [11, 9], [11, 8], [10, 8], [10, 7], [10, 6], [10, 5]]","[(1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1)]","[10, 5]","[2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,8,0
5,maxModel41,9,5,9,9,2,7,"[0, 0, 1, 1, 1, 1, 2, 2, 2]","[(2, 7), [3, 7], [3, 6], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5]]","[(1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[3],"[0, 1, 0, 0, 0, 0, 0, 0, 0]",1,4,7,90
6,maxModel41,4,3,4,11,12,7,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(12, 7), [11, 7], [11, 6], [10, 6], [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [4, 6], [4, 5], [4, 4], [4, 3]]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,8,8,270
7,maxModel41,1,3,1,11,7,7,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(7, 7), [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [4, 10], [4, 11], [4, 12], [4, 11], [3, 11], [2, 11], [1, 11]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[8],"[0, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0]",1,8,6,270
8,maxModel41,0,5,0,9,8,7,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]","[(8, 7), [8, 8], [9, 8], [9, 7], [8, 7], [8, 6], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [2, 5], [1, 5], [0, 5]]","[(0, 1), (1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[2, 3]","[2, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,270
9,maxModel41,4,4,10,4,7,12,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2]","[(7, 12), [7, 11], [7, 10], [8, 10], [8, 9], [8, 8], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4], [10, 4]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0)]",[3],"[0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 2]",special,6,8,0
0,maxModel41,11,3,11,11,5,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(5, 7), [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [10, 5], [10, 4], [11, 4], [11, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1)]",[6],"[0, 0, 0, 0, 0, 2, 1, 1, 0, 1]",1,8,6,90
1,maxModel41,14,4,14,10,6,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7], [13, 8], [13, 9], [14, 9], [14, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]",[5],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",1,6,8,90
2,maxModel41,5,1,9,1,7,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [6, 3], [6, 2], [6, 1], [5, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 1]",1,4,7,0
3,maxModel41,7,4,7,10,14,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(14, 7), [13, 7], [12, 7], [13, 7], [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [8, 8], [8, 9], [7, 9], [7, 10]]","[(-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",1,6,7,270
4,maxModel41,3,10,11,10,7,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [11, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",0,8,7,180
