,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel37,3,7,11,7,7,0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[(7, 0), [6, 0], [5, 0], [4, 0], [3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[2, 3]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,8,7,180
1,maxModel37,7,4,7,10,14,7,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[(14, 7), [14, 8], [14, 9], [13, 9], [13, 10], [12, 10], [11, 10], [10, 10], [9, 10], [8, 10], [7, 10]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 0, 2, 0, 0, 0, 0, 0, 0]",0,6,7,270
2,maxModel37,4,12,10,12,7,6,"[0, 0, 0, 1, 1, 1, 1, 1, 1]","[(7, 6), [6, 6], [5, 6], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[3],"[1, 1, 0, 0, 0, 0, 0, 0, 0]",1,6,6,180
3,maxModel37,5,3,9,3,7,9,"[0, 0, 0, 1, 1, 1, 1, 1]","[(7, 9), [7, 8], [8, 8], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3]]","[(0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 2, 2, 0, 0, 0, 0, 0]",0,4,6,0
4,maxModel37,4,11,10,11,7,3,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(7, 3), [7, 4], [8, 4], [8, 5], [9, 5], [9, 4], [9, 5], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11]]","[(0, 1), (1, 0), (0, 1), (1, 0), (0, -1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[7, 5]","[0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,8,180
5,maxModel37,3,5,3,9,10,7,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(10, 7), [10, 8], [10, 9], [9, 9], [9, 8], [8, 8], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9]]","[(0, 1), (0, 1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[4],"[2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]",1,4,7,270
6,maxModel37,4,3,4,11,12,7,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(12, 7), [12, 8], [11, 8], [11, 9], [11, 10], [10, 10], [9, 10], [8, 10], [8, 11], [7, 11], [6, 11], [5, 11], [4, 11]]","[(0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0]",0,8,8,270
7,maxModel37,7,3,7,11,13,7,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[(13, 7), [14, 7], [14, 6], [13, 6], [12, 6], [11, 6], [10, 6], [9, 6], [9, 5], [9, 4], [8, 4], [8, 3], [7, 3]]","[(1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[1],"[2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",1,8,6,270
8,maxModel37,5,11,9,11,7,3,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[(7, 3), [8, 3], [7, 3], [6, 3], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11]]","[(1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[2, 9]","[2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,180
9,maxModel37,9,4,9,10,1,7,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(1, 7), [1, 6], [2, 6], [3, 6], [3, 5], [4, 5], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]","[(0, 1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",special,6,8,90
0,maxModel37,4,11,10,11,7,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 4), [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [8, 9], [8, 10], [9, 10], [9, 11], [10, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,7,180
