,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel34,8,3,8,11,1,7,"[0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3]","[(1, 7), [1, 8], [1, 9], [1, 8], [1, 9], [2, 9], [3, 9], [3, 10], [3, 11], [4, 11], [4, 12], [5, 12], [5, 11], [6, 11], [7, 11], [8, 11]]","[(0, 1), (0, 1), (0, -1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0)]","[10, 3]","[2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",2,8,7,90
1,maxModel34,4,2,10,2,7,9,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[(7, 9), [7, 8], [8, 8], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [9, 3], [10, 3], [10, 2]]","[(0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1)]",[],"[0, 2, 0, 0, 0, 0, 0, 2, 2, 0]",0,6,7,0
2,maxModel34,4,7,10,7,7,13,"[0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[(7, 13), [8, 13], [8, 12], [8, 11], [7, 11], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [5, 7], [4, 7]]","[(1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[4],"[2, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1]",1,6,6,0
3,maxModel34,8,5,8,9,14,7,"[0, 1, 1, 1, 1, 1, 2, 2]","[(14, 7), [14, 6], [14, 5], [13, 5], [12, 5], [11, 5], [10, 5], [9, 5], [8, 5]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 1, 0, 0, 0, 0, 0, 0]",0,4,6,270
4,maxModel34,5,4,5,10,13,7,"[0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4]","[(13, 7), [13, 8], [14, 8], [13, 8], [13, 9], [13, 10], [13, 11], [13, 10], [12, 10], [11, 10], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10]]","[(0, 1), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[6, 2]","[2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,8,270
5,maxModel34,10,5,10,9,3,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(3, 7), [3, 8], [4, 8], [4, 9], [5, 9], [6, 9], [7, 9], [8, 9], [9, 9], [9, 8], [10, 8], [10, 9]]","[(0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, 1)]",[9],"[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2]",1,4,7,90
6,maxModel34,3,9,11,9,7,1,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[(7, 1), [8, 1], [8, 2], [8, 3], [9, 3], [9, 4], [9, 5], [9, 6], [10, 6], [10, 7], [10, 8], [10, 9], [11, 9]]","[(1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0)]",[],"[2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2]",0,8,8,180
7,maxModel34,9,3,9,11,3,7,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3]","[(3, 7), [4, 7], [4, 8], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [8, 8], [9, 8], [9, 9], [9, 10], [9, 11]]","[(1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[8],"[0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2]",1,8,6,90
8,maxModel34,5,9,9,9,7,1,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[(7, 1), [8, 1], [9, 1], [9, 2], [10, 2], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9]]","[(1, 0), (1, 0), (0, 1), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 4]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,180
9,maxModel34,4,10,10,10,7,2,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3]","[(7, 2), [8, 2], [9, 2], [9, 3], [10, 3], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10]]","[(-1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[1],"[1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]",special,6,8,180
