,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel43,3,9,11,9,7,2,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[(7, 2), [7, 3], [6, 3], [7, 3], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 9]]","[(0, 1), (-1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[6, 3]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",2,8,7,180
1,maxModel43,4,5,10,5,7,12,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[(7, 12), [8, 12], [9, 12], [10, 12], [10, 11], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",0,6,7,0
2,maxModel43,4,7,10,7,7,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(7, 1), [8, 1], [8, 2], [9, 2], [9, 3], [9, 4], [9, 5], [10, 5], [10, 6], [10, 5], [10, 6], [10, 7]]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, -1), (0, 1), (0, 1)]",[9],"[2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]",1,6,6,180
3,maxModel43,2,5,2,9,8,7,"[0, 1, 1, 1, 1, 1, 1, 1]","[(8, 7), [8, 8], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 0, 0, 0, 0, 0, 0]",0,4,6,270
4,maxModel43,4,14,10,14,7,6,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(7, 6), [8, 6], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [10, 14]]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[2, 4]","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,8,180
5,maxModel43,5,3,9,3,7,10,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(7, 10), [7, 9], [8, 9], [8, 8], [8, 7], [7, 7], [8, 7], [8, 6], [9, 6], [9, 5], [9, 4], [9, 3]]","[(0, -1), (1, 0), (0, -1), (0, -1), (-1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1)]",[5],"[0, 2, 0, 0, 2, 2, 0, 2, 0, 0, 0]",1,4,7,0
6,maxModel43,4,3,4,11,12,7,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[(12, 7), [12, 8], [11, 8], [10, 8], [10, 9], [9, 9], [9, 10], [8, 10], [8, 11], [7, 11], [6, 11], [5, 11], [4, 11]]","[(0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0]",0,8,8,270
7,maxModel43,0,3,0,11,6,7,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(6, 7), [5, 7], [5, 8], [5, 7], [4, 7], [3, 7], [3, 8], [2, 8], [2, 9], [1, 9], [0, 9], [0, 10], [0, 11]]","[(-1, 0), (0, 1), (0, -1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[3],"[0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 2, 2]",1,8,6,270
8,maxModel43,5,9,9,9,7,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(7, 1), [7, 0], [7, 1], [6, 1], [6, 2], [6, 1], [6, 2], [6, 3], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9]]","[(0, -1), (0, 1), (-1, 0), (0, 1), (0, -1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 5]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2,4,8,180
9,maxModel43,14,4,14,10,6,7,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(6, 7), [6, 8], [6, 9], [7, 9], [7, 10], [8, 10], [9, 10], [10, 10], [11, 10], [12, 10], [13, 10], [14, 10]]","[(0, -1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]",special,6,8,90
