,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel0,4,12,10,12,7,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [6, 11], [5, 11], [5, 12], [4, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 1, 1, 0, 1]",0,6,6,180
1,maxModel0,4,3,10,3,7,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 11), [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 7], [7, 6], [7, 5], [6, 5], [6, 4], [5, 4], [5, 3], [4, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]","[6, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",2,6,8,0
2,maxModel0,4,3,10,3,7,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [6, 4], [5, 4], [5, 3], [4, 3]]","[(0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1,6,7,0
3,maxModel0,3,9,11,9,7,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [8, 8], [9, 8], [9, 9], [10, 9], [11, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0)]",[8],"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,8,6,180
4,maxModel0,5,13,9,13,7,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [6, 11], [6, 12], [6, 13], [7, 13], [8, 13], [9, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[9, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2]",2,4,7,180
5,maxModel0,13,5,13,9,7,7,"[0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7], [13, 8], [13, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]",0,4,6,90
6,maxModel0,12,3,12,11,4,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 6], [11, 5], [11, 4], [12, 4], [12, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,8,8,90
7,maxModel0,10,5,10,9,2,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(2, 7), [3, 7], [4, 7], [5, 7], [6, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [10, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[5],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,4,8,90
8,maxModel0,3,6,11,6,7,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 13), [7, 12], [7, 11], [7, 10], [7, 9], [6, 9], [6, 8], [5, 8], [5, 7], [5, 6], [4, 6], [3, 6]]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0)]","[5, 9]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",2,8,7,0
9,maxModel0,0,4,0,10,6,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(6, 7), [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 6], [1, 5], [0, 5], [0, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, -1), (-1, 0), (0, -1)]",[6],"[0, 0, 0, 0, 0, 2, 1, 0, 1]",special,6,6,270
