,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel6,0,3,0,11,7,7,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(7, 7), [8, 7], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [4, 9], [3, 9], [3, 10], [3, 11], [2, 11], [1, 11], [0, 11]]","[(1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[1, 9]","[2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]",2,8,7,270
1,maxModel6,4,4,4,10,11,7,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(11, 7), [11, 8], [11, 9], [11, 10], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",0,6,7,270
2,maxModel6,13,4,13,10,7,7,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(7, 7), [8, 7], [9, 7], [9, 6], [9, 5], [10, 5], [11, 5], [12, 5], [12, 4], [12, 5], [13, 5], [13, 4]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (1, 0), (0, -1)]",[9],"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1]",1,6,6,90
3,maxModel6,8,5,8,9,2,7,"[0, 0, 0, 0, 1, 1, 1, 1]","[(2, 7), [2, 6], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[1, 1, 0, 0, 0, 0, 0, 0]",0,4,6,90
4,maxModel6,4,4,10,4,7,12,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(7, 12), [7, 11], [7, 10], [6, 10], [5, 10], [4, 10], [4, 9], [3, 9], [3, 8], [3, 7], [3, 6], [3, 7], [4, 7], [4, 6], [4, 5], [4, 4]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, 1), (1, 0), (0, -1), (0, -1), (0, -1)]","[11, 7]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,8,0
5,maxModel6,5,7,9,7,7,0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(7, 0), [8, 0], [9, 0], [9, 1], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 5], [9, 6], [9, 7]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1)]",[9],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,7,180
6,maxModel6,9,3,9,11,1,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(1, 7), [2, 7], [2, 6], [2, 5], [2, 4], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3]]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0,8,8,90
7,maxModel6,7,3,7,11,1,7,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(1, 7), [1, 8], [2, 8], [2, 9], [2, 10], [2, 11], [3, 11], [4, 11], [5, 11], [5, 10], [5, 11], [6, 11], [7, 11]]","[(0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (1, 0), (1, 0)]",[9],"[2, 0, 2, 2, 2, 0, 0, 0, 0, 2, 0, 0]",1,8,6,90
8,maxModel6,8,5,8,9,0,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(0, 7), [1, 7], [1, 8], [2, 8], [3, 8], [4, 8], [5, 8], [6, 8], [6, 9], [5, 9], [6, 9], [7, 9], [8, 9]]","[(1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (-1, 0), (1, 0), (1, 0), (1, 0)]","[3, 9]","[0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]",2,4,8,90
9,maxModel6,4,14,10,14,7,6,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(7, 6), [7, 7], [7, 8], [8, 8], [8, 9], [8, 10], [9, 10], [10, 10], [10, 11], [10, 12], [10, 13], [10, 14]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[3],"[0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0]",special,6,8,180
