,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel44,3,12,11,12,7,5,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[(7, 5), [7, 6], [8, 6], [8, 7], [8, 8], [9, 8], [10, 8], [10, 9], [10, 10], [9, 10], [10, 10], [11, 10], [11, 11], [11, 12]]","[(0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]","[6, 9]","[0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0]",2,8,7,180
1,maxModel44,9,4,9,10,2,7,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[(2, 7), [3, 7], [4, 7], [5, 7], [5, 8], [6, 8], [7, 8], [7, 9], [7, 10], [8, 10], [9, 10]]","[(1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 2, 0, 0, 2, 2, 0, 0]",0,6,7,90
2,maxModel44,11,4,11,10,5,7,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(5, 7), [5, 6], [5, 5], [6, 5], [7, 5], [7, 6], [7, 5], [8, 5], [8, 4], [9, 4], [10, 4], [11, 4]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, 1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0)]",[5],"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",1,6,6,90
3,maxModel44,7,5,7,9,1,7,"[0, 0, 0, 1, 1, 1, 1, 1]","[(1, 7), [2, 7], [2, 6], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5]]","[(1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 1, 1, 0, 0, 0, 0, 0]",0,4,6,90
4,maxModel44,4,11,10,11,7,3,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(7, 3), [6, 3], [5, 3], [6, 3], [6, 4], [7, 4], [6, 4], [6, 5], [5, 5], [5, 6], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11]]","[(-1, 0), (-1, 0), (1, 0), (0, 1), (1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[3, 5]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",2,6,8,180
5,maxModel44,5,1,9,1,7,8,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(7, 8), [8, 8], [8, 7], [8, 6], [9, 6], [10, 6], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1]]","[(1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[5],"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",1,4,7,0
6,maxModel44,0,3,0,11,8,7,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(8, 7), [7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [1, 11], [0, 11]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0]",0,8,8,270
7,maxModel44,3,11,11,11,7,5,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(7, 5), [8, 5], [9, 5], [9, 6], [10, 6], [11, 6], [11, 7], [11, 8], [11, 9], [11, 8], [11, 9], [11, 10], [11, 11]]","[(1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1)]",[9],"[2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",1,8,6,180
8,maxModel44,5,12,9,12,7,4,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(7, 4), [6, 4], [6, 5], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [5, 10], [5, 11], [5, 12]]","[(-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1)]","[1, 10]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,180
9,maxModel44,3,4,3,10,11,7,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[(11, 7), [10, 7], [10, 8], [10, 9], [9, 9], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10], [3, 10]]","[(-1, 0), (0, -1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[2],"[0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0]",special,6,8,270
0,maxModel44,5,3,5,11,13,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [5, 3]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,8,8,270
